Column1,Column2
스타벅스 전남대점,광주광역시 북구 우치로 110
스타벅스 광주상무대교점,광주광역시 서구 상무중앙로 90
스타벅스 광주화정DT점,광주광역시 서구 상무대로 1080
스타벅스 광주지산유원지입구점,광주광역시 동구 무등로 592
스타벅스 광주운암DT점,광주광역시 북구 북문대로 78
스타벅스 광주용두DT점,광주광역시 북구 신용동 산41-19
스타벅스 신세계광주점,광주광역시 서구 광천동
스타벅스 광주상무점,광주광역시 서구 상무중앙로 75
스타벅스 광주황금점,광주광역시 동구 중앙로160번길 14
스타벅스 광주흑석DT점,광주광역시 광산구 사암로 367
스타벅스 광주매곡DT점,광주광역시 북구 설죽로 339
스타벅스 광주무등산점,광주광역시 동구 증심사길 16
스타벅스 광주충장로점,광주광역시 동구 충장로 65
스타벅스 충장일가점,광주광역시 동구 서석로 43
스타벅스 조선대점,광주광역시 동구 지산로 3
스타벅스 광주방림DT점,광주광역시 남구 대남대로 67
스타벅스 광주쌍암점,광주광역시 광산구 첨단중앙로 158
스타벅스 광주장덕점,광주광역시 광산구 장신로 85
스타벅스 광주신가DT점,광주광역시 광산구 목련로 335
스타벅스 광주금호DT점,광주광역시 서구 운천로109번길 1
스타벅스 광주하남점,광주광역시 광산구 사암로216번길 38-16
스타벅스 광주상무중앙로점,광주광역시 서구 상무중앙로 46
스타벅스 광주수완DT점,광주광역시 광산구 임방울대로 487
스타벅스 광주첨단신용점,광주광역시 북구 첨단연신로 101
스타벅스 광주진월점,광주광역시 남구 서문대로749번길 3
스타벅스 광주월산DT점,광주광역시 남구 대남대로 386
스타벅스 광주동명점,광주광역시 동구 동명로 16
스타벅스 상무역점,광주광역시 서구 상무중앙로 7
스타벅스 광주송정역점,광주광역시 광산구 상무대로205번길 6
스타벅스 광주봉선중앙점,광주광역시 남구 봉선동 473-19
스타벅스 광주첨단점,광주광역시 광산구 첨단중앙로 104
스타벅스 광주용봉점,광주광역시 북구 저불로 45
스타벅스 상무치평점,광주광역시 서구 상무자유로 173
스타벅스 광주주월DT점,광주광역시 남구 회재로 1256
스타벅스 광주봉선점,광주광역시 남구 봉선로 176
스타벅스 광주운남DT점,광주광역시 광산구 임방울대로 156
스타벅스 광주동림점,광주광역시 서구 하남대로 672-1
스타벅스 광주봉선로점,광주광역시 남구 제석로 104
스타벅스 광주산정DT점,광주광역시 광산구 용아로 342
스타벅스 광주서문대로점,광주광역시 남구 서문대로 665
스타벅스 광주일곡점,광주광역시 북구 설죽로 518
스타벅스 광주신안DT점,광주광역시 북구 서암대로 93
스타벅스 광주두암타운점,광주광역시 북구 삼정로 4
스타벅스 광주풍암점,광주광역시 서구 풍암2로 8
스타벅스 광주신세계DT점,광주광역시 서구 죽봉대로 33
스타벅스 신세계광주신관B1점,광주광역시 서구 죽봉대로 61
스타벅스 충장서림점,광주광역시 동구 금남로5가 2
한슨&빈커피,광주광역시 서구 금화로 240
한스앤빈 광주점,광주광역시 동구 중앙로 143
한스앤빈,광주광역시 남구 봉선동 156
BEANSTAR,광주광역시 북구 북문대로103번길 21
카페빈,광주광역시 서구 금호운천길 103
한스앤빈,광주광역시 서구 금화로 278
bean965,광주광역시 서구 상무대로911번길 6
더치앤빈 광주LC타워점,광주광역시 광산구 첨단중앙로106번길 23 1층
빈러브,광주광역시 광산구 수등로76번길 35 1층 빈러브
카페더반함,광주광역시 남구 서서평길 22-1
Cafe Ma Bean,광주광역시 북구 황계로55번길 32
블랙빈,광주광역시 광산구 북문대로433번길 32-1
투썸플레이스 전남대점,광주광역시 북구 호동로 25
투썸플레이스 광주첨단호수공원점,광주광역시 광산구 첨단중앙로182번길 22
투썸플레이스 광주수완점,광주광역시 광산구 임방울대로 355
투썸플레이스 상무메이루즈점,광주광역시 서구 시청로 27 광명메이루즈 테라스가든1층 129호
투썸플레이스 광주용봉점,광주광역시 북구 설죽로 195
투썸플레이스 상무번영로점,광주광역시 서구 상무번영로 57
투썸플레이스 조선대점,광주광역시 동구 필문대로273번길 1
투썸플레이스 광주염주점,광주광역시 서구 월드컵4강로 114 성준빌딩 102호
투썸플레이스 첨단쌍암점,광주광역시 광산구 임방울대로826번길 25
투썸플레이스 광주봉선점,광주광역시 남구 봉선로 156
투썸플레이스 광주월곡점,광주광역시 광산구 사암로 331
투썸플레이스 광주화정점,광주광역시 서구 금화로383번길 10
투썸플레이스 광주선운지구점,광주광역시 광산구 선운중앙로 48
투썸플레이스 광주풍암점,광주광역시 서구 풍암순환로 113
투썸플레이스 광주운암점,광주광역시 북구 대자실로 30
투썸플레이스 광주첨단2지구점,광주광역시 북구 첨단연신로91번길 14 (주)어울림
투썸플레이스 광주금호점,광주광역시 서구 금화로 67
투썸플레이스 광주대점,광주광역시 남구 효덕로 298
투썸플레이스 광주빛고을여성병원점,광주광역시 북구 하서로 395 빛고을 여성병원
투썸플레이스 광주매곡점,광주광역시 북구 하백로6번길 12
투썸플레이스 광주농성점,광주광역시 서구 죽봉대로 15 1층
투썸플레이스 광주도산점,광주광역시 광산구 송도로 160
투썸플레이스 광주메가박스하남점,광주광역시 광산구 풍영철길로 15 콜럼버스웨팅홀
투썸플레이스 광주성심병원점,"광주광역시 광산구 용아로 257 1,2층"
투썸플레이스 광주메가박스첨단점,광주광역시 광산구 앰코로 35
투썸플레이스 광주장덕점,광주광역시 광산구 장신로 39
투썸플레이스 전남대캠퍼스점,광주광역시 북구 용봉로 77 용봉문화관 1층 스위티움
투썸플레이스 광주 수완롯데마트점,광주광역시 광산구 장신로 98 롯데마트 3층 투썸플레이스
투썸플레이스 광주용봉CGV점,광주광역시 북구 문화소통로 170
이디야커피 광주첨단점,광주광역시 광산구 첨단중앙로170번길 20
이디야커피 광주충장로점,광주광역시 동구 충장로 107
이디야커피 광주송정DI점,광주광역시 광산구 상무대로 277-1
이디야커피 화정현대점,광주광역시 서구 군분로139번길 17
이디야커피 전남대정문점,광주광역시 북구 용봉로 80
이디야 광주학동점,광주광역시 동구 남문로 760
이디야커피 광주진월점,광주광역시 남구 광복마을길 97-1
이디야커피 광주상무롯데마트점,광주광역시 서구 시청로 40 롯데마트 1층
이디야커피 광주유스퀘어점,광주광역시 서구 무진대로 904 유스퀘어(광천터미널)
이디야커피 광주화정점,광주광역시 서구 화운로83번길 25 이디야 광주화정점
이디야커피 수완중앙점,광주광역시 광산구 수완로 16
이디야광주수완은빛점,광주광역시 광산구 임방울대로332번길 29
이디야커피 광주양산점,광주광역시 북구 양산택지로 58
이디야 수완신가점,광주광역시 광산구 수등로94번길 8-5
이디야커피 광주화정중앙점,광주광역시 서구 상무대로1066번길 1 이디야커피 광주화정중앙점
이디야커피 전남대후문점,광주광역시 북구 서방로9번길 26 1층 이디야 전남대후문점
이디야커피 첨단쌍암점,광주광역시 광산구 월계로 223-13
이디야커피 광주상무중앙점,광주광역시 서구 치평로 76
이디야 광주금호점,광주광역시 서구 화개1로79번길 3
이디야커피 광주첨단신용점,광주광역시 북구 첨단연신로133번길 4 호반베르디움
이디야커피 두암센트럴점,광주광역시 북구 군왕로 51 이디야커피 두암센트럴점
이디야커피 유덕점,광주광역시 서구 칠성로 49
이디야커피 광주신가사거리점,광주광역시 광산구 수등로 243
이디야커피 광주수완점,광주광역시 광산구 장덕로 48
이디야커피 흑석동점,광주광역시 광산구 풍영로101번안길 16
이디야커피 쌍촌호반점,광주광역시 서구 상일로 55
이디야 광주매곡동점,광주광역시 북구 설죽로315번길 37
이디야커피 광주무역회관점,광주광역시 광산구 무진대로 282 광주무역회관빌딩
이디야광주충파점,광주광역시 동구 중앙로 180
이디야 광주동천점,광주광역시 서구 하남대로 656
이디야커피 광주금호운천점,광주광역시 서구 운천로 129
이디야커피 광주봉선주월점,광주광역시 남구 주월동 1316
이디야커피 광주일곡점,광주광역시 북구 설죽로 518-4
이디야커피 광주수완장덕점,광주광역시 광산구 장신로 81 이디야커피 수완장덕점
이디야커피 광주봉선중앙로점,광주광역시 남구 봉선중앙로131번길 12 1층
이디야 광주하남2지구점,광주광역시 광산구 손재로110번길 45
이디야커피 광주소촌점,광주광역시 광산구 소촌로 92
이디야커피 광주봉선센트럴점,광주광역시 남구 봉선로 184
이디야커피 광주보건대점,"광주광역시 광산구 장신로 326 1층 811호, 812호"
이디야커피 광주효천점,광주광역시 남구 효우2로26번길 7 백두타워 1층 102호
이디야커피 광주쌍촌엘리체점,광주광역시 서구 상무대로967번길 29
이디야커피 광주본촌점,광주광역시 북구 하서로 499
이디야커피 광주서방지오점,광주광역시 북구 서암대로 315
이디야커피 광주하남CGV점,광주광역시 광산구 용아로400번길 30
이디야커피 광주상무이마트점,광주광역시 서구 운천로 263
이디야커피 광주하남3지구점,광주광역시 광산구 하남울로12번하길 10
이디야 전남대상대점,광주광역시 북구 설죽로202번길 71
이디야커피 광주수완롯데마트점,광주광역시 광산구 장신로 98
이디야커피 광주운암중앙점,광주광역시 북구 북문대로 167
할리스커피 광주첨단점,광주광역시 광산구 첨단중앙로 136
할리스커피 광주일곡점,광주광역시 북구 송해로 81
할리스커피 광주전남대점,광주광역시 북구 우치로 90
할리스커피 광주충장로점,광주광역시 동구 충장로안길 43
할리스커피 광주봉선점,광주광역시 남구 봉선중앙로 21
할리스커피 광주시청로점,광주광역시 서구 상무시민로 130 월드빌딩
할리스커피 광주수완2호점,광주광역시 광산구 수완동 1109
할리스커피 광주수완점,광주광역시 광산구 풍영로 189
할리스커피 광주운남점,광주광역시 광산구 하남대로 248-13 대영빌딩 1층
할리스커피 광주풍암점,광주광역시 서구 풍금로38번길 11
할리스커피 광주상무병원점,광주광역시 서구 운천로 225 상무힐타워
할리스커피 광주오치점,광주광역시 북구 서하로 185
할리스커피 광주첨단2지구점,광주광역시 북구 첨단연신로91번길 10
할리스커피 광주금호점,광주광역시 서구 운천로 3 1층
할리스커피광주문흥점,광주광역시 북구 서하로 373
할리스커피 전남대상대점,광주광역시 북구 설죽로202번길 68
할리스커피 광주우산점,광주광역시 광산구 우산동 1363-2
할리스커피 광주동림동점,광주광역시 서구 하남대로680번길 1 1층
할리스커피 유스퀘어CGV점,광주광역시 서구 무진대로 904 유스퀘어 2층
할리스커피 광주비엔날레점,광주광역시 북구 비엔날레로 109-1
할리스커피광주아울렛점,광주광역시 서구 상무대로 633
할리스커피 광주아울렛점,광주광역시 서구 상무대로 627
할리스커피 광주문흥점,광주광역시 북구 서하로 373 102호
할리스커피 광주문흥점,광주광역시 북구 서하로 373 102호
할리스커피 하남점,광주광역시 광산구 용아로 400
할리스커피광주풍암점전용주차장,광주광역시 서구 풍암동
빽다방 광주충장로1호점,광주광역시 동구 중앙로160번길 15-6
빽다방 광주상무역점,광주광역시 서구 치평로 20
빽다방 전남대후문점,광주광역시 북구 우치로90번길 16
빽다방 상무메가점,광주광역시 서구 시청로60번길 21-6 1층 101호
빽다방 광주수완대로점,광주광역시 광산구 장신로 135
빽다방 광주충장로2호점,광주광역시 동구 금남로 246
빽다방 광주첨단로데오점,광주광역시 광산구 첨단중앙로106번길 11 104호
빽다방 조선대후문점,광주광역시 동구 필문대로273번길 8
빽다방 봉선쌍용점,광주광역시 남구 봉선로 172
빽다방 광주구시청점,광주광역시 동구 백서로125번길 45 1층
빽다방 광천사거리점,광주광역시 서구 죽봉대로 95
엔제리너스커피 광주광천DT점,광주광역시 서구 무진대로 933
엔제리너스 상무DT점,광주광역시 서구 상무대로 778
엔제리너스 광주용봉점,광주광역시 북구 용봉택지로 80
엔제리너스 광주수완점,광주광역시 광산구 임방울대로 338
엔제리너스 광주하남점,광주광역시 광산구 풍영철길로 15 콜럼버스웨팅홀
엔제리너스커피광주첨단점,광주광역시 광산구 첨단중앙로 158
엔제리너스커피광주신창점,광주광역시 광산구 왕버들로 265
엔제리너스 광주봉선중앙점,광주광역시 남구 봉선로 152
엔제리너스광주흑석점,광주광역시 광산구 사암로383번길 6
엔제리너스 광주오치점,광주광역시 북구 설죽로 305
엔제리너스 광주운암DT점,광주광역시 북구 북문대로 177
엔제리너스상무D/T점,광주광역시 서구 상무대로 778
엔제리너스 광주터미널점,광주광역시 서구 무진대로 904 1층 엔제리너스
엔제리너스 광주농성DI점,광주광역시 서구 죽봉대로 21-1
엔제리너스 광주빛고을점,광주광역시 남구 효우로 170-1
엔제리너스 광주금호점,광주광역시 서구 풍금로 157
엔제리너스 광주문흥점,광주광역시 북구 서하로 376
엔제리너스 광주풍암점,광주광역시 서구 풍암신흥로 91
엔제리너스 롯데시네광주점,광주광역시 동구 독립로 268 롯데백화점광주점 10F
엔제리너스 롯데아울렛광주월드컵점,광주광역시 서구 금화로 240 롯데아울렛 2F
엔제리너스호남대점,광주광역시 광산구 어등대로 416
엔제리너스 광주학동점,광주광역시 동구 남문로 686
엔제리너스 롯데아울렛광주수완점,광주광역시 광산구 장신로 98 롯데아울렛 광주수완점 B블럭 3층
엔제리너스 광주두암점,광주광역시 북구 갈마로 53
엔제리너스 광주공항점,광주광역시 광산구 상무대로 420-25 광주공항 2층
엔제리너스 홈플러스동광주점,광주광역시 북구 동문대로 200 삼성홈플러스
엔제리너스 조선대국제관점,광주광역시 동구 필문대로 309
엔제리너스 조선대입석홀점,광주광역시 동구 필문대로 309
탐앤탐스 광주운암점,광주광역시 북구 서강로 78
탐앤탐스 조선대학교점,광주광역시 동구 필문대로273번길 30
커피베이 광주신가점,광주광역시 광산구 신창로35번길 3 1층 1호
커피베이 송정점,광주광역시 광산구 내상로 67
커피베이 광주화정점,광주광역시 서구 화운로23번길 4
커피베이 광주쌍암점,광주광역시 광산구 앰코로 25
커피베이광주선운점,광주광역시 광산구 어등대로 422
커피베이 신안점,광주광역시 북구 태봉로 71
커피베이광주첨단자이점,광주광역시 북구 임방울대로1042번길 14-6
커피베이 각화점,광주광역시 북구 군왕로 297 솔로몬타워 1층 107호
커피베이 광주충장로점,광주광역시 동구 충장로 102-6
커피베이 광주양산점,광주광역시 북구 하서로 410 1층 커피베이
커피베이 광주용봉점,광주광역시 북구 용봉택지로 39 1층 112호
커피베이 전남대학교점,광주광역시 북구 용주로30번길 29 1층
달콤커피 광주첨단점,광주광역시 광산구 임방울대로 788
달콤커피 전남대후문점,광주광역시 북구 우치로 72
달콤커피 광주금호점,광주광역시 서구 금화로 89
달콤커피 첨단2지구점,광주광역시 북구 첨단연신로108번길 22
달콤커피 상무컨벤션점,광주광역시 서구 상무공원로 7
달콤커피 광주시청점,광주광역시 서구 상무시민로 103
달콤커피 광주양산점,광주광역시 북구 하서로 400 1층
달콤커피 광주유스퀘어점,광주광역시 서구 무진대로 904
달콤커피 광주대인점,광주광역시 동구 제봉로 197
달콤커피 광주노대점,광주광역시 남구 효덕로 200
달콤커피 광주운남점,광주광역시 광산구 풍영로 43
달콤커피 상무SK뷰점,광주광역시 서구 마륵복개로150번길 1-1
달콤커피 광주일곡점,광주광역시 북구 일곡마을로 149 1층 달콤커피 광주일곡점
달콤커피 Volume.356 전남대점,광주광역시 북구 설죽로214번길 95-1
커피에반하다 광주신가점,광주광역시 광산구 수등로 263
커피에반하다 광주진월점,광주광역시 남구 화산로 33
커피에반하다 광주무등산점 커반24,광주광역시 동구 증심사길 28-17
드롭탑 풍암호수점,광주광역시 서구 회재로 970
드롭탑 광주첨단점,광주광역시 광산구 첨단강변로99번길 42
드롭탑용봉점,광주광역시 북구 용봉택지로 51
드롭탑 광주수완점,광주광역시 광산구 장신로82번길 16
드롭탑광주치평점,광주광역시 서구 시청로 13
드롭탑 광주진월점,광주광역시 남구 광복마을길 83
드롭탑 전남대후문점,광주광역시 북구 우치로 92
드롭탑 광주하남2지구점,광주광역시 광산구 용아로399번길 51
드롭탑두암점,광주광역시 북구 동문대로 146
드롭탑 광주첨단2지구점,광주광역시 북구 첨단연신로108번길 120 1층 드롭탑
드롭탑 광주금호점,광주광역시 서구 금화로 59
카페드롭탑 광주송정점,광주광역시 광산구 송정로 55
드롭탑 광주화정점,광주광역시 서구 내방로 349
드롭탑광주양산점,광주광역시 북구 하서로 402
드롭탑 광주경신여고사거리점,광주광역시 북구 금호로 35
드롭탑 광주수완아동병원점,광주광역시 광산구 수완로 6
드롭탑 광주염주점,광주광역시 서구 월드컵4강로 93
드롭탑 광주 학동점,광주광역시 동구 남문로 716-5
드롭탑 효천2지구점,광주광역시 남구 효우2로26번길 12
드롭탑 세정아울렛점,광주광역시 서구 상무대로 761
드롭탑 광주시청점,광주광역시 서구 상무연하로 112
카페드롭탑 광주쌍암공원점,광주광역시 광산구 첨단중앙로182번길 24
드롭탑조선대점,광주광역시 동구 필문대로287번길 15-22
카페드롭탑 광주한국병원점,광주광역시 서구 월드컵4강로 223
드롭탑호남대점,광주광역시 광산구 서봉동
카페드롭탑,광주광역시 남구 효우2로26번길 12 2층
광주패밀리랜드 드롭탑,광주광역시 북구 우치로 677
